id,budget_item,quantity,value_as_published,value_units,species,site,region,method,class,tier,source_short,doi,source_location,corrections_applied,notes
FR-01,foliar_fraction,foliage % of Reco (PROXY),37 (range 18-40),percent,tropical wet forest,La Selva Costa Rica,neotropical proxy,canopy chamber transects,proxy,D,Cavaleri et al. 2008,10.1111/j.1365-3040.2008.01775.x,component split soil41/foliage37/wood14/CWD7,,Best-supported foliar:Reco bound; Reco=9.4 umol m-2 s-1
FR-02,foliar_fraction,leaf % of Reco (PROXY),33,percent,terra firme rainforest,Manaus Amazon,neotropical proxy,chamber leaf/wood/soil,proxy,D,Chambers et al. 2004,10.1890/01-6012,leaf2.6 wood1.1 soil3.2 total7.8,,Autotrophic 2.2 vs heterotrophic 5.6
FR-03,foliar_fraction,foliage % of net daytime fixed C (MANGROVE),22,percent,Rhizophora apiculata,SE Asia,Indo-Pacific,carbon-allocation budget,mangrove,C,Clough 1997 in Alongi 2014,10.1146/annurev-marine-010213-135020,Alongi review,,Ratio to assimilation NOT to Reco; do not substitute for FR-01/02
AH-01,auto_hetero,autotrophic:heterotrophic of Reco,74:26,percent,global mangrove,global,global,mass-balance synthesis,mangrove,C,Alongi 2014,10.1146/annurev-marine-010213-135020,Table 4,,Ra3079 Rh1101 Re4180 g C m-2 yr-1; CUE 0.33; canopy R largest flux
AH-02,auto_hetero,below-canopy share of Reco,45-65,percent,mixed riverine,Shark River SRS-6,Florida neotropical,component chambers + EC,mangrove,A,Troxler et al. 2015,10.1016/j.agrformet.2014.12.012,component-efflux table,,soil1.27 soil+pneum3.17 proproot1.94 CWD2.34 water1.02 umol m-2 s-1
AH-03,auto_hetero,ER:GPP (MANGROVE),0.65,ratio,global mangrove,global,global,EC NEE-partition synthesis,mangrove,C,Adame et al. 2024,10.1002/ecs2.4806,synthesis,,Brackets 0.65-0.91 vs Alongi mass-balance 0.91
GN-01,gpp_nee,max daytime NEE,-20 to -25,umol CO2 m-2 ground s-1,mixed riverine,Shark River SRS-6,Florida neotropical,eddy covariance,mangrove,A,Barr et al. 2010,10.1029/2009JG001186,Results (Mar-May),C-01,Peak uptake spring
GN-02,gpp_nee,annual NEP (=-NEE),1170 ± 127,g C m-2 yr-1,mixed riverine,Shark River SRS-6,Florida neotropical,eddy covariance,mangrove,A,Barr et al. 2010,10.1029/2009JG001186,2004 annual,,Strong sink
GN-03,gpp_nee,daytime Rd / mean ecosystem Re,2.81 ± 2.41 / 1.62 ± 1.38,umol CO2 m-2 ground s-1,mixed riverine,Shark River SRS-6,Florida neotropical,eddy covariance,mangrove,A,Barr et al. 2010 (Re via Troxler 2015),10.1029/2009JG001186,Results / Troxler table,C-01,Mean Re 1.62 distinct from leaf Rd LR-01 (coincidental)
GN-04,gpp_nee,leaf Amax,~18,umol CO2 m-2 leaf s-1,Rhizophora mangle,Shark River SRS-6,Florida neotropical,LI-6400 cuvette,mangrove,A,Barr et al. 2009,10.1029/2008JG000843,Results sec 3,C-01,Sustained 8-10 under high T/radiation; pairs with LR-01
GN-05,gpp_nee,midday GPP plausibility,25-40 (your 37 high-plausible),umol CO2 m-2 ground s-1,mixed riverine,Shark River SRS-6,Florida neotropical,derived: GPP=-NEE+Reco,mangrove,A,derived from Barr 2010,10.1029/2009JG001186,GN-01 + daytime Reco,,Verify against Barr 2010 GEP2000
REF-CM13,context,Shark River total NPP,17.0 ± 1.1,Mg ha-1 yr-1,mixed riverine,Shark River,Florida neotropical,biometric,mangrove,A,Castaneda-Moya et al. 2013,10.1016/j.foreco.2013.07.011,NPP allocation,,Litter31/wood31/root38; not an EC flux
