date,plot,surface,collar_notes,collar_location_notes,analyzer_id,chamber_id,soil_temp_c,water_temp_c,water_depth_cm,start_time,end_time,temp_start,temp_end,pressure_start,pressure_end,rh_start,rh_end,pneumatophore_count,notes_1,notes_2,...22,...23,...24,...25,...26,...27,datetime,date_only,flux_id,air_temp,temp_source
3/19/22,RB10,Soil,1,NA,LGR3,Soil 6 in,24.5,NA,NA,11:42:00,11:44:00,NA,NA,NA,NA,NA,NA,NA,bare soil,NA,NA,NA,NA,NA,NA,NA,2022-03-19T11:42:00.000000Z,2022-03-19,Mar_19_22_RB10_S_1_Soil6in_LGR3,29.6,Tree same-day
3/19/22,RB10,Soil,2,NA,LGR3,Soil 6 in,24.4,NA,NA,11:52:30,11:54:30,NA,NA,NA,NA,NA,NA,NA,bare soil,NA,NA,NA,NA,NA,NA,NA,2022-03-19T11:52:30.000000Z,2022-03-19,Mar_19_22_RB10_S_2_Soil6in_LGR3,29.6,Tree same-day
3/19/22,RB10,Soil,3,NA,LGR3,Soil 6 in,24.4,NA,NA,11:56:00,11:58:00,NA,NA,NA,NA,NA,NA,2,n=2,NA,NA,NA,NA,NA,NA,NA,2022-03-19T11:56:00.000000Z,2022-03-19,Mar_19_22_RB10_S_3_Soil6in_LGR3,29.6,Tree same-day
3/19/22,RB10,Soil,8,NA,LGR3,Soil 6 in,24.2,NA,NA,12:00:30,12:02:30,NA,NA,NA,NA,NA,NA,2,n=2,NA,NA,NA,NA,NA,NA,NA,2022-03-19T12:00:30.000000Z,2022-03-19,Mar_19_22_RB10_S_8_Soil6in_LGR3,29.6,Tree same-day
3/19/22,RB10,Soil,10,NA,LGR3,Soil 6 in,24.3,NA,NA,12:10:00,12:13:00,NA,NA,NA,NA,NA,NA,3,n=3,NA,NA,NA,NA,NA,NA,NA,2022-03-19T12:10:00.000000Z,2022-03-19,Mar_19_22_RB10_S_10_Soil6in_LGR3,29.6,Tree same-day
3/19/22,RB10,Soil,3,NA,LGR3,Soil 6 in,24.7,NA,NA,12:32:51,12:36:10,NA,NA,NA,NA,NA,NA,0,bare soil,NA,NA,NA,NA,NA,NA,NA,2022-03-19T12:32:51.000000Z,2022-03-19,Mar_19_22_RB10_S_3_Soil6in_LGR3,29.6,Tree same-day
3/19/22,RB10,Soil,NA,NA,LGR3,Soil 6 in,24.2,NA,NA,12:35:00,12:42:20,NA,NA,NA,NA,NA,NA,2,"bare soil, pnew n=2",NA,NA,NA,NA,NA,NA,NA,2022-03-19T12:35:00.000000Z,2022-03-19,Mar_19_22_RB10_S_NA_Soil6in_LGR3,29.6,Tree same-day
3/19/22,RB10,Soil,NA,NA,LGR3,Soil 6 in,24.2,NA,NA,12:44:38,12:48:03,NA,NA,NA,NA,NA,NA,0,Bare soil,NA,NA,NA,NA,NA,NA,NA,2022-03-19T12:44:38.000000Z,2022-03-19,Mar_19_22_RB10_S_NA_Soil6in_LGR3,29.6,Tree same-day
3/19/22,RB10,Soil,NA,NA,LGR3,Soil 6 in,24.3,NA,NA,12:50:02,12:53:00,NA,NA,NA,NA,NA,NA,0,Bare soil,NA,NA,NA,NA,NA,NA,NA,2022-03-19T12:50:02.000000Z,2022-03-19,Mar_19_22_RB10_S_NA_Soil6in_LGR3,29.6,Tree same-day
3/19/22,RB10,Soil,NA,NA,LGR3,Soil 6 in,24.2,NA,NA,12:54:35,12:57:00,NA,NA,NA,NA,NA,NA,2,"bare soil, pnew=N=2",NA,NA,NA,NA,NA,NA,NA,2022-03-19T12:54:35.000000Z,2022-03-19,Mar_19_22_RB10_S_NA_Soil6in_LGR3,29.6,Tree same-day
3/23/22,FLM30,Soil,1,NA,LGR3,Soil 8 in,27.6,NA,NA,15:30:00,15:32:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-23T15:30:00.000000Z,2022-03-23,Mar_23_22_FLM30_S_1_Soil8in_LGR3,31,Tree 30min
3/23/22,FLM30,Soil,2,NA,LGR3,Soil 8 in,27.5,NA,NA,15:35:55,15:37:35,NA,NA,NA,NA,NA,NA,NA,chamber slipped,NA,NA,NA,NA,NA,NA,NA,2022-03-23T15:35:55.000000Z,2022-03-23,Mar_23_22_FLM30_S_2_Soil8in_LGR3,31,Tree same-day
3/23/22,FLM30,Soil,3,NA,LGR3,Soil 8 in,26.2,NA,NA,15:39:20,15:41:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-23T15:39:20.000000Z,2022-03-23,Mar_23_22_FLM30_S_3_Soil8in_LGR3,31,Tree same-day
3/23/22,FLM30,Soil,4,NA,LGR3,Soil 8 in,26.5,NA,NA,15:42:45,15:44:45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-23T15:42:45.000000Z,2022-03-23,Mar_23_22_FLM30_S_4_Soil8in_LGR3,31,Tree same-day
3/23/22,FLM30,Soil,5,NA,LGR3,Soil 8 in,27.7,NA,NA,15:47:05,15:49:05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-23T15:47:05.000000Z,2022-03-23,Mar_23_22_FLM30_S_5_Soil8in_LGR3,31,Tree same-day
3/23/22,FLM30,Soil,1,NA,LGR3,Soil 8 in,26.4,NA,NA,16:05:30,16:07:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-23T16:05:30.000000Z,2022-03-23,Mar_23_22_FLM30_S_1_Soil8in_LGR3,31,Tree same-day
3/23/22,FLM30,Soil,2,NA,LGR3,Soil 8 in,27.6,NA,NA,16:09:30,16:11:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-23T16:09:30.000000Z,2022-03-23,Mar_23_22_FLM30_S_2_Soil8in_LGR3,31,Tree same-day
3/23/22,FLM30,Soil,3,NA,LGR3,Soil 8 in,27.5,NA,NA,16:12:45,16:14:45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-23T16:12:45.000000Z,2022-03-23,Mar_23_22_FLM30_S_3_Soil8in_LGR3,31,Tree same-day
3/23/22,FLM30,Soil,4,NA,LGR3,Soil 8 in,27.6,NA,NA,16:16:15,16:18:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-23T16:16:15.000000Z,2022-03-23,Mar_23_22_FLM30_S_4_Soil8in_LGR3,31,Tree same-day
3/23/22,FLM30,Soil,5,NA,LGR3,Soil 8 in,27,NA,NA,16:20:45,16:22:45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-23T16:20:45.000000Z,2022-03-23,Mar_23_22_FLM30_S_5_Soil8in_LGR3,31,Tree same-day
3/24/22,BL60,Soil,1,NA,LGR3,Soil 8 in,23.9,NA,NA,15:08:30,15:10:30,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-24T15:08:30.000000Z,2022-03-24,Mar_24_22_BL60_S_1_Soil8in_LGR3,32.95,Tree 30min
3/24/22,BL60,Soil,2,NA,LGR3,Soil 8 in,24.3,NA,NA,15:13:30,15:15:30,NA,NA,NA,NA,NA,NA,3,3 pneum,NA,NA,NA,NA,NA,NA,NA,2022-03-24T15:13:30.000000Z,2022-03-24,Mar_24_22_BL60_S_2_Soil8in_LGR3,32.6,Tree 30min
3/24/22,BL60,Soil,NA,NA,LGR3,Soil 8 in,24.7,NA,NA,15:18:30,15:20:30,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-24T15:18:30.000000Z,2022-03-24,Mar_24_22_BL60_S_NA_Soil8in_LGR3,32.6,Tree 30min
3/24/22,BL60,Soil,4,NA,LGR3,Soil 8 in,24.1,NA,NA,15:23:00,15:25:00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-24T15:23:00.000000Z,2022-03-24,Mar_24_22_BL60_S_4_Soil8in_LGR3,32.6,Tree 30min
3/24/22,BL60,Soil,5,NA,LGR3,Soil 8 in,24.5,NA,NA,15:28:30,15:30:30,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-24T15:28:30.000000Z,2022-03-24,Mar_24_22_BL60_S_5_Soil8in_LGR3,32.6,Tree 30min
3/24/22,BL60,Soil,6,NA,LGR3,Soil 8 in,24,NA,NA,15:35:00,15:37:00,NA,NA,NA,NA,NA,NA,5,5-6 pneum,NA,NA,NA,NA,NA,NA,NA,2022-03-24T15:35:00.000000Z,2022-03-24,Mar_24_22_BL60_S_6_Soil8in_LGR3,32.6,Tree 30min
3/24/22,BL60,Soil,7,NA,LGR3,Soil 8 in,24,NA,NA,15:41:30,15:42:30,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-24T15:41:30.000000Z,2022-03-24,Mar_24_22_BL60_S_7_Soil8in_LGR3,32.6,Tree same-day
3/24/22,BL60,Soil,8,NA,LGR3,Soil 8 in,24.1,NA,NA,15:47:30,15:49:30,NA,NA,NA,NA,NA,NA,1,1 pneum,NA,NA,NA,NA,NA,NA,NA,2022-03-24T15:47:30.000000Z,2022-03-24,Mar_24_22_BL60_S_8_Soil8in_LGR3,32.6,Tree same-day
3/24/22,BL60,Soil,9,NA,LGR3,Soil 8 in,24.1,NA,NA,15:53:30,15:55:30,NA,NA,NA,NA,NA,NA,3,3 pneum,NA,NA,NA,NA,NA,NA,NA,2022-03-24T15:53:30.000000Z,2022-03-24,Mar_24_22_BL60_S_9_Soil8in_LGR3,32.6,Tree same-day
3/24/22,BL60,Soil,10,NA,LGR3,Soil 8 in,24.6,NA,NA,16:00:00,16:02:00,NA,NA,NA,NA,NA,NA,3,3 pneumataphores,NA,NA,NA,NA,NA,NA,NA,2022-03-24T16:00:00.000000Z,2022-03-24,Mar_24_22_BL60_S_10_Soil8in_LGR3,30.5,Tree same-day
10/17/22,SRS6,Soil,9,white mangrive by pink tape,Picarro,Soil 6 in,27.2,NA,0.7,08:55:47,08:59:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-17T08:55:47.000000Z,2022-10-17,Oct_17_22_SRS6_S_9_Soil6in_Picarro,27.1,Tree same-day
10/17/22,SRS6,Soil,4,red mangrove by pink tape,Picarro,Soil 6 in,27.1,NA,0,09:09:00,09:12:10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-17T09:09:00.000000Z,2022-10-17,Oct_17_22_SRS6_S_4_Soil6in_Picarro,27.1,Tree same-day
10/17/22,SRS6,Soil,8,red mangrove by pink tape,Picarro,Soil 6 in,27,NA,0.5,09:18:18,09:21:18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-17T09:18:18.000000Z,2022-10-17,Oct_17_22_SRS6_S_8_Soil6in_Picarro,27.1,Tree same-day
10/17/22,SRS6,Soil,6,red mangrove sol,Picarro,Soil 6 in,27.2,NA,0,09:44:10,09:47:10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-17T09:44:10.000000Z,2022-10-17,Oct_17_22_SRS6_S_6_Soil6in_Picarro,27.1,Tree same-day
10/17/22,SRS6,Soil,7,by red mangrove sol and dead white mangrove,Picarro,Soil 6 in,27.1,NA,0,09:50:30,09:53:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-17T09:50:30.000000Z,2022-10-17,Oct_17_22_SRS6_S_7_Soil6in_Picarro,27.1,Tree same-day
10/17/22,SRS6,Soil,3,by dead white,Picarro,Soil 6 in,27,NA,0,11:51:35,11:55:35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-17T11:51:35.000000Z,2022-10-17,Oct_17_22_SRS6_S_3_Soil6in_Picarro,26.1,Tree 30min
10/17/22,SRS6,Soil,1,by dead red,Picarro,Soil 6 in,26.8,NA,0,10:30:40,10:33:40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-17T10:30:40.000000Z,2022-10-17,Oct_17_22_SRS6_S_1_Soil6in_Picarro,27.1,Tree 30min
10/17/22,SRS6,Soil,5,by dead red with blue tape,Picarro,Soil 6 in,26.8,NA,1,10:56:20,11:00:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-17T10:56:20.000000Z,2022-10-17,Oct_17_22_SRS6_S_5_Soil6in_Picarro,27.1,Tree 30min
10/17/22,SRS6,Soil,10,7 ft from 37,Picarro,Soil 6 in,26.5,NA,0,11:06:00,11:09:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-17T11:06:00.000000Z,2022-10-17,Oct_17_22_SRS6_S_10_Soil6in_Picarro,27.1,Tree 30min
10/17/22,SRS6,Soil,2,red #2,Picarro,Soil 6 in,26.5,NA,0,11:39:20,11:42:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-17T11:39:20.000000Z,2022-10-17,Oct_17_22_SRS6_S_2_Soil6in_Picarro,27.1,Tree 30min
10/18/22,FLM30,Water,surface 1,NA,Picarro,Floating 8 in,NA,NA,10,08:57:00,09:02:00,NA,NA,NA,NA,NA,NA,NA,NA,System time = 9:23:00,NA,NA,NA,NA,NA,NA,2022-10-18T08:57:00.000000Z,2022-10-18,Oct_18_22_FLM30_W_surface 1_Floating8in_Picarro,25.9,Tree same-day
10/18/22,FLM30,Water,surface 2,NA,Picarro,Floating 8 in,NA,NA,10,11:23:00,11:28:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-18T11:23:00.000000Z,2022-10-18,Oct_18_22_FLM30_W_surface 2_Floating8in_Picarro,26.724999999999998,Tree 30min
10/18/22,FLM30,Water,surface 3,NA,Picarro,Floating 8 in,NA,NA,10,12:06:00,12:11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-18T12:06:00.000000Z,2022-10-18,Oct_18_22_FLM30_W_surface 3_Floating8in_Picarro,27.357142857142858,Tree 30min
10/20/22,SRS5,Water,surface water 1,plot edge (river),Picarro,Floating 8 in,NA,NA,9,12:50:00,12:55:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-20T12:50:00.000000Z,2022-10-20,Oct_20_22_SRS5_W_surface water 1_Floating8in_Picarro,20.788888888888888,Tree 30min
10/20/22,SRS5,Water,surface water 2,plot center,Picarro,Floating 8 in,NA,NA,6,13:01:00,13:05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-20T13:01:00.000000Z,2022-10-20,Oct_20_22_SRS5_W_surface water 2_Floating8in_Picarro,20.6,Tree 30min
10/20/22,SRS5,Water,surface water 3,plot river interface,Picarro,Floating 8 in,NA,NA,12,13:11:00,13:20:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-20T13:11:00.000000Z,2022-10-20,Oct_20_22_SRS5_W_surface water 3_Floating8in_Picarro,20.522222222222222,Tree 30min
10/20/22,SRS5,Soil,sediment 1,near water edge,LGR2,3 ft soil,23.4,NA,0,14:42:30,14:47:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-20T14:42:30.000000Z,2022-10-20,Oct_20_22_SRS5_S_sediment 1_3ftsoil_LGR2,18.057142857142857,Tree 30min
10/20/22,SRS5,Soil,sediment 2,10m from water,LGR2,3 ft soil,23.4,NA,1,14:57:30,15:00:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-20T14:57:30.000000Z,2022-10-20,Oct_20_22_SRS5_S_sediment 2_3ftsoil_LGR2,18.14,Tree 30min
10/20/22,SRS5,Soil,sediment 3,20m,LGR2,3 ft soil,23.4,NA,0.5,15:08:00,15:11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-20T15:08:00.000000Z,2022-10-20,Oct_20_22_SRS5_S_sediment 3_3ftsoil_LGR2,18.575000000000003,Tree 30min
10/20/22,SRS5,Soil,sediment 4,25m,LGR2,3 ft soil,NA,NA,0,15:19:00,15:32:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-20T15:19:00.000000Z,2022-10-20,Oct_20_22_SRS5_S_sediment 4_3ftsoil_LGR2,18.560000000000002,Tree 30min
10/20/22,SRS5,Soil,sediment 5,30m,LGR2,3 ft soil,23,NA,1,15:30:30,15:33:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-20T15:30:30.000000Z,2022-10-20,Oct_20_22_SRS5_S_sediment 5_3ftsoil_LGR2,18.52,Tree 30min
10/20/22,SRS5,Soil,sediment 6,40m,LGR2,3 ft soil,22.9,NA,1,15:45:30,15:48:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-20T15:45:30.000000Z,2022-10-20,Oct_20_22_SRS5_S_sediment 6_3ftsoil_LGR2,18.5,Tree 30min
10/20/22,SRS5,Soil,sediment 7,50m,LGR2,3 ft soil,23,NA,0,15:55:30,15:59:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-20T15:55:30.000000Z,2022-10-20,Oct_20_22_SRS5_S_sediment 7_3ftsoil_LGR2,18.5,Tree 30min
10/20/22,SRS5,Soil,sediment 8,30m,LGR2,3 ft soil,22.8,NA,1,16:09:45,16:12:45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-20T16:09:45.000000Z,2022-10-20,Oct_20_22_SRS5_S_sediment 8_3ftsoil_LGR2,18.5,Tree 30min
10/21/22,SRS6,Soil,1,near boardwalk,LGR3,3 ft soil,24.2,NA,0,15:01:30,15:08:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-21T15:01:30.000000Z,2022-10-21,Oct_21_22_SRS6_S_1_3ftsoil_LGR3,16.8,Tree same-day
10/21/22,SRS6,Soil,2,by tree 237,LGR3,3 ft soil,23.8,NA,NA,15:14:30,15:17:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-21T15:14:30.000000Z,2022-10-21,Oct_21_22_SRS6_S_2_3ftsoil_LGR3,16.8,Tree same-day
10/21/22,SRS6,Soil,NA,231,LGR3,3 ft soil,24.1,NA,NA,15:23:00,15:26:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-21T15:23:00.000000Z,2022-10-21,Oct_21_22_SRS6_S_NA_3ftsoil_LGR3,16.8,Tree same-day
10/21/22,SRS6,Soil,NA,231,LGR3,3 ft soil,24.2,NA,NA,15:30:30,15:32:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-21T15:30:30.000000Z,2022-10-21,Oct_21_22_SRS6_S_NA_3ftsoil_LGR3,16.8,Tree same-day
10/21/22,SRS6,Soil,NA,near black mangrove litter trap,LGR3,3 ft soil,23.4,NA,NA,15:38:00,15:40:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-21T15:38:00.000000Z,2022-10-21,Oct_21_22_SRS6_S_NA_3ftsoil_LGR3,16.8,Tree same-day
10/21/22,SRS6,Soil,NA,black mangroves between plots,LGR3,3 ft soil,23.5,NA,NA,15:45:30,15:47:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-21T15:45:30.000000Z,2022-10-21,Oct_21_22_SRS6_S_NA_3ftsoil_LGR3,16.8,Tree same-day
10/21/22,SRS6,Soil,NA,NA,LGR3,3 ft soil,23.5,NA,NA,15:52:30,15:54:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-21T15:52:30.000000Z,2022-10-21,Oct_21_22_SRS6_S_NA_3ftsoil_LGR3,16.8,Tree same-day
10/21/22,SRS6,Soil,NA,NA,LGR3,3 ft soil,23.3,NA,NA,16:00:00,16:02:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-21T16:00:00.000000Z,2022-10-21,Oct_21_22_SRS6_S_NA_3ftsoil_LGR3,16.8,Tree same-day
10/21/22,SRS6,Soil,NA,near tree 232,LGR3,3 ft soil,23.7,NA,NA,16:08:45,16:11:45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-21T16:08:45.000000Z,2022-10-21,Oct_21_22_SRS6_S_NA_3ftsoil_LGR3,16.8,Tree same-day
10/21/22,SRS6,Soil,NA,NA,LGR3,3 ft soil,23.4,NA,NA,16:15:45,16:17:45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-21T16:15:45.000000Z,2022-10-21,Oct_21_22_SRS6_S_NA_3ftsoil_LGR3,16.8,Tree same-day
10/21/22,SRS6,Soil,NA,NA,LGR3,3 ft soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_SRS6_S_NA_3ftsoil_LGR3,NA,Failed datetime
10/23/22,CP40,Water,N/A,near tree 808,LGR2,Floating 8 in,26.3,NA,23,11:28:00,11:31:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-23T11:28:00.000000Z,2022-10-23,Oct_23_22_CP40_W_N/A_Floating8in_LGR2,28,Tree 30min
10/23/22,CP40,Water,N/A,near tree 801,LGR2,Floating 8 in,NA,NA,23,11:42:45,11:45:45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-23T11:42:45.000000Z,2022-10-23,Oct_23_22_CP40_W_N/A_Floating8in_LGR2,28.34,Tree 30min
10/23/22,CP40,Water,N/A,near tree 801,LGR2,Floating 8 in,NA,NA,23,11:47:00,11:50:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-23T11:47:00.000000Z,2022-10-23,Oct_23_22_CP40_W_N/A_Floating8in_LGR2,28.34,Tree 30min
10/23/22,CP40,Water,N/A,slightly outside plot to east,LGR2,Floating 8 in,NA,NA,23,12:01:45,12:04:45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-23T12:01:45.000000Z,2022-10-23,Oct_23_22_CP40_W_N/A_Floating8in_LGR2,29.18,Tree 30min
10/23/22,CP40,Water,N/A,slightly outisde plot to NE,LGR2,Floating 8 in,NA,NA,NA,12:09:00,12:14:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-23T12:09:00.000000Z,2022-10-23,Oct_23_22_CP40_W_N/A_Floating8in_LGR2,29.733333333333334,Tree 30min
10/25/22,BL60,Water,W1,NA,Picarro,Floating 8 in,24.2,NA,14,10:56:00,10:59:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-25T10:56:00.000000Z,2022-10-25,Oct_25_22_BL60_W_W1_Floating8in_Picarro,24.771428571428572,Tree 30min
10/25/22,BL60,Water,W2,NA,Picarro,Floating 8 in,24.3,NA,15,11:13:00,11:19:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-25T11:13:00.000000Z,2022-10-25,Oct_25_22_BL60_W_W2_Floating8in_Picarro,24.9,Tree 30min
