"no","index","flux_id","plot","date","start_time","end_time","component","status","species","analyzer","analyzer_id","chamber","chamber_class","chamber_vol","chamber_area","height","diameter","stem_temp","air_temp","soil_temp","lenticels","above","water_depth","datetime","date_only"
247,"Mar_23_247","Mar_23_247_SRS6_CWD","SRS6","3/11/23","14:21:00","14:23:00","CWD","dead","RHMA","LGR","LGR2","B5","B",NA,NA,"45",15,33,24.4,25.9,"","sediment",30,2023-03-11 14:21:00,2023-03-11
249,"Mar_23_249","Mar_23_249_SRS6_stem","SRS6","3/11/23","15:11:00","15:13:45","stem","alive","RHMA","LGR","LGR2","B5","B",NA,NA,"60",15.5,26,24.1,26,"","sediment",30,2023-03-11 15:11:00,2023-03-11
253,"Mar_23_253","Mar_23_253_SRS6_stem","SRS6","3/11/23","15:36:40","15:39:30","stem","alive","AVGE","LGR","LGR2","B5","B",NA,NA,"145",17,26,24.1,26.1,"","sediment",32,2023-03-11 15:36:40,2023-03-11
243,"Mar_23_243","Mar_23_243_SRS6_CWD","SRS6","3/11/23","14:07:00","14:10:00","CWD","dead","RHMA","LGR","LGR2","C2","C",NA,NA,"73",19,30,25.6,25.9,"","sediment",28,2023-03-11 14:07:00,2023-03-11
244,"Mar_23_244","Mar_23_244_SRS6_CWD","SRS6","3/11/23","14:31:00","14:34:00","CWD","dead","AVGE","LGR","LGR2","B5","B",NA,NA,"60",11.5,27,26.1,25.8,"","sediment",31,2023-03-11 14:31:00,2023-03-11
245,"Mar_23_245","Mar_23_245_SRS6_CWD","SRS6","3/11/23","14:40:00","14:43:00","CWD","dead","LARA","LGR","LGR2","B5","B",NA,NA,"20",18,32,25.9,25.9,"","sediment",25,2023-03-11 14:40:00,2023-03-11
246,"Mar_23_246","Mar_23_246_SRS6_CWD","SRS6","3/11/23","14:54:00","14:57:00","CWD","dead","RHMA","LGR","LGR2","B5","B",NA,NA,"75",10,25.5,24.2,25.9,"","sediment",22,2023-03-11 14:54:00,2023-03-11
248,"Mar_23_248","Mar_23_248_SRS6_stem","SRS6","3/11/23","15:05:00","15:08:00","stem","alive","RHMA","LGR","LGR2","B5","B",NA,NA,"110",15.5,26,24.1,26,"","sediment",30,2023-03-11 15:05:00,2023-03-11
250,"Mar_23_250","Mar_23_250_SRS6_stem","SRS6","3/11/23","15:15:00","15:18:00","stem","alive","RHMA","LGR","LGR2","B5","B",NA,NA,"160",15.5,26.2,24.1,26,"","sediment",30,2023-03-11 15:15:00,2023-03-11
251,"Mar_23_251","Mar_23_251_SRS6_stem","SRS6","3/11/23","15:25:00","15:28:00","stem","alive","AVGE","LGR","LGR2","B5","B",NA,NA,"45",17,25.2,24.1,26.1,"","sediment",32,2023-03-11 15:25:00,2023-03-11
252,"Mar_23_252","Mar_23_252_SRS6_stem","SRS6","3/11/23","15:31:00","15:34:00","stem","alive","AVGE","LGR","LGR2","B5","B",NA,NA,"95",17,25.7,24.1,26.1,"","sediment",32,2023-03-11 15:31:00,2023-03-11
254,"Mar_23_254","Mar_23_254_SRS6_stem","SRS6","3/11/23","15:50:30","15:53:30","stem","alive","LARA","LGR","LGR2","B5","B",NA,NA,"45",17,25.3,24.2,26.2,"","sediment",35,2023-03-11 15:50:30,2023-03-11
255,"Mar_23_255","Mar_23_255_SRS6_stem","SRS6","3/11/23","15:56:00","15:59:00","stem","alive","LARA","LGR","LGR2","B5","B",NA,NA,"95",16,26,24.2,26.2,"","sediment",35,2023-03-11 15:56:00,2023-03-11
256,"Mar_23_256","Mar_23_256_SRS6_stem","SRS6","3/11/23","16:02:00","16:05:00","stem","alive","LARA","LGR","LGR2","B5","B",NA,NA,"145",15.5,26,24.2,26.2,"","sediment",35,2023-03-11 16:02:00,2023-03-11
257,"Mar_23_257","Mar_23_257_SRS6_stem","SRS6","3/11/23","16:10:00","16:13:00","stem","alive","AVGE","LGR","LGR2","C2","C",NA,NA,"50",31.5,25.1,23.1,26.2,"","sediment",35,2023-03-11 16:10:00,2023-03-11
259,"Mar_23_259","Mar_23_259_SRS6_stem","SRS6","3/11/23","16:20:15","16:23:15","stem","alive","AVGE","LGR","LGR2","C2","C",NA,NA,"150",30,26,23.1,26.2,"","sediment",35,2023-03-11 16:20:15,2023-03-11
262,"Mar_23_262","Mar_23_262_SRS6_stem","SRS6","3/11/23","15:52:15","15:55:15","stem","alive","LARA","LGR","LGR3","D2","D",NA,NA,"?",25.5,26.8,23.6,26.4,"","sediment",20,2023-03-11 15:52:15,2023-03-11
263,"Mar_23_263","Mar_23_263_SRS6_stem","SRS6","3/11/23","11:54:30","11:57:30","stem","alive","AVGE","LGR","LGR3","C5","C",NA,NA,"21",20.5,29.8,26.7,24.1,"","sediment",NA,2023-03-11 11:54:30,2023-03-11
264,"Mar_23_264","Mar_23_264_SRS6_stem","SRS6","3/11/23","12:08:15","12:11:15","stem","alive","AVGE","LGR","LGR3","C5","C",NA,NA,"67",21,25.3,26.7,24.1,"","sediment",NA,2023-03-11 12:08:15,2023-03-11
265,"Mar_23_265","Mar_23_265_SRS6_stem","SRS6","3/11/23","12:23:30","12:26:30","stem","alive","AVGE","LGR","LGR3","C5","C",NA,NA,"95",21.2,26.1,26.7,24.1,"","sediment",NA,2023-03-11 12:23:30,2023-03-11
266,"Mar_23_266","Mar_23_266_SRS6_stem","SRS6","3/11/23","12:39:30","12:42:30","stem","alive","RHMA","LGR","LGR3","C3","C",NA,NA,"65",19.1,26.7,28.3,24,"","sediment",NA,2023-03-11 12:39:30,2023-03-11
267,"Mar_23_267","Mar_23_267_SRS6_stem","SRS6","3/11/23","12:51:30","12:54:30","stem","alive","RHMA","LGR","LGR3","C3","C",NA,NA,"96",15.8,26.2,28.3,24,"","sediment",NA,2023-03-11 12:51:30,2023-03-11
268,"Mar_23_268","Mar_23_268_SRS6_stem","SRS6","3/11/23","13:04:00","13:07:00","stem","alive","RHMA","LGR","LGR3","B2","B",NA,NA,"12",15.4,26.5,28.3,24,"","sediment",NA,2023-03-11 13:04:00,2023-03-11
269,"Mar_23_269","Mar_23_269_SRS6_root","SRS6","3/11/23","13:31:30","13:34:30","root","alive","RHMA","LGR","LGR3","A1","A",NA,NA,"53",5.5,26.3,28.3,24,"","sediment",NA,2023-03-11 13:31:30,2023-03-11
270,"Mar_23_270","Mar_23_270_SRS6_stem","SRS6","3/11/23","14:05:30","14:08:30","stem","alive","AVGE","LGR","LGR3","C3","C",NA,NA,"15",13.5,25.6,25.3666666666667,25.8,"","sediment",3,2023-03-11 14:05:30,2023-03-11
271,"Mar_23_271","Mar_23_271_SRS6_stem","SRS6","3/11/23","14:16:00","14:19:00","stem","alive","AVGE","LGR","LGR3","C3","C",NA,NA,"60",12.5,26.8,25.4733333333333,25.8,"","sediment",7,2023-03-11 14:16:00,2023-03-11
272,"Mar_23_272","Mar_23_272_SRS6_stem","SRS6","3/11/23","14:27:30","14:30:30","stem","alive","AVGE","LGR","LGR3","B1","B",NA,NA,"98",12.3,27,25.2914285714286,25.8,"","sediment",7,2023-03-11 14:27:30,2023-03-11
275,"Mar_23_275","Mar_23_275_SRS6_stem","SRS6","3/11/23","15:12:25","15:15:25","stem","alive","AVGE","LGR","LGR3","D2","D",NA,NA,"108",21.5,25.8,24.2,26,"","sediment",22,2023-03-11 15:12:25,2023-03-11
274,"Mar_23_274","Mar_23_274_SRS6_stem","SRS6","3/11/23","14:59:30","15:02:30","stem","alive","AVGE","LGR","LGR3","D2","D",NA,NA,"68",133,26,24.2,26,"","sediment",12,2023-03-11 14:59:30,2023-03-11
273,"Mar_23_273","Mar_23_273_SRS6_stem","SRS6","3/11/23","12:47:30","14:50:30","stem","alive","AVGE","LGR","LGR3","D2","D",NA,NA,"17",138.8,25.6,24.2,26,"","sediment",10,2023-03-11 12:47:30,2023-03-11
221,"Mar_23_221","Mar_23_221_SRS5_root","SRS5","3/12/23","11:27:48","11:30:38","root","alive","RHMA","LGR","LGR2","A5","A",NA,NA,"20",10.4,23,25.4,23.4,"","sediment",0,2023-03-12 11:27:48,2023-03-12
213,"Mar_23_213","Mar_23_213_SRS5_stem","SRS5","3/12/23","15:45:08","15:48:08","stem","alive","AVGE","LGR","LGR3","D2","D",NA,NA,"115",40.1,27.8,27.8,23.6,"","sediment",5,2023-03-12 15:45:08,2023-03-12
215,"Mar_23_215","Mar_23_215_SRS5_stem","SRS5","3/12/23","16:03:00","16:06:00","stem","dead","RHMA","LGR","LGR3","B2","B",NA,NA,"160",13.5,29.8,28.1,23.5,"","sediment",8,2023-03-12 16:03:00,2023-03-12
216,"Mar_23_216","Mar_23_216_SRS5_stem","SRS5","3/12/23","16:08:17","16:11:17","stem","dead","RHMA","LGR","LGR3","B2","B",NA,NA,"110",14,28.2,28.1,23.5,"","sediment",8,2023-03-12 16:08:17,2023-03-12
217,"Mar_23_217","Mar_23_217_SRS5_root","SRS5","3/12/23","16:16:00","16:19:00","root","dead","RHMA","LGR","LGR3","B2","B",NA,NA,"80",27.9,27.9,28.1,23.5,"","sediment",8,2023-03-12 16:16:00,2023-03-12
218,"Mar_23_218","Mar_23_218_SRS5_stem","SRS5","3/12/23","11:06:00","11:09:00","stem","alive","RHMA","LGR","LGR2","B5","B",NA,NA,"43",8,22.4,25.4,23.4,"","sediment",0,2023-03-12 11:06:00,2023-03-12
220,"Mar_23_220","Mar_23_220_SRS5_stem","SRS5","3/12/23","11:18:00","11:21:00","stem","alive","RHMA","LGR","LGR2","A5","A",NA,NA,"131",7,24,25.4,23.4,"","sediment",0,2023-03-12 11:18:00,2023-03-12
222,"Mar_23_222","Mar_23_222_SRS5_stem","SRS5","3/12/23","11:42:40","11:45:40","stem","alive","RHMA","LGR","LGR2","C2","C",NA,NA,"58",21.2,23.2,27.7,23.5,"","sediment",0,2023-03-12 11:42:40,2023-03-12
224,"Mar_23_224","Mar_23_224_SRS5_stem","SRS5","3/12/23","12:12:35","12:15:35","stem","alive","RHMA","LGR","LGR2","C2","C",NA,NA,"145",16.8,24.6,27.7,23.5,"","sediment",0,2023-03-12 12:12:35,2023-03-12
225,"Mar_23_225","Mar_23_225_SRS5_root","SRS5","3/12/23","12:28:00","12:31:00","root","alive","RHMA","LGR","LGR2","A5","A",NA,NA,"22",8,23.7,27.7,23.5,"","sediment",0,2023-03-12 12:28:00,2023-03-12
226,"Mar_23_226","Mar_23_226_SRS5_stem","SRS5","3/12/23","12:42:35","12:45:35","stem","alive","RHMA","LGR","LGR2","C2","C",NA,NA,"37",17.1,24.1,29,23.5,"","sediment",0,2023-03-12 12:42:35,2023-03-12
228,"Mar_23_228","Mar_23_228_SRS5_stem","SRS5","3/12/23","13:07:15","13:10:15","stem","alive","RHMA","LGR","LGR2","C2","C",NA,NA,"120",14.5,25.3,29,23.5,"","sediment",0,2023-03-12 13:07:15,2023-03-12
229,"Mar_23_229","Mar_23_229_SRS5_root","SRS5","3/12/23","13:16:45","13:19:45","root","alive","RHMA","LGR","LGR2","A5","A",NA,NA,"10",8.3,24.1,29,23.5,"","sediment",0,2023-03-12 13:16:45,2023-03-12
230,"Mar_23_230","Mar_23_230_SRS5_stem","SRS5","3/12/23","13:28:09","13:31:09","stem","alive","RHMA","LGR","LGR2","B5","B",NA,NA,"42",3.6,25.8,29,23.6,"","sediment",0,2023-03-12 13:28:09,2023-03-12
231,"Mar_23_231","Mar_23_231_SRS5_stem","SRS5","3/12/23","13:38:57","13:41:57","stem","alive","RHMA","LGR","LGR2","A5","A",NA,NA,"78",9.4,26.4,29,23.6,"","sediment",0,2023-03-12 13:38:57,2023-03-12
232,"Mar_23_232","Mar_23_232_SRS5_stem","SRS5","3/12/23","13:49:59","13:52:59","stem","alive","RHMA","LGR","LGR2","A5","A",NA,NA,"117",7.6,26.7,29,23.6,"","sediment",0,2023-03-12 13:49:59,2023-03-12
233,"Mar_23_233","Mar_23_233_SRS5_root","SRS5","3/12/23","13:58:34","14:01:34","root","alive","RHMA","LGR","LGR2","A5","A",NA,NA,"16",5.8,25.6,29,23.6,"","sediment",0,2023-03-12 13:58:34,2023-03-12
234,"Mar_23_234","Mar_23_234_SRS5_stem","SRS5","3/12/23","14:35:40","14:38:40","stem","alive","RHMA","LGR","LGR2","A5","A",NA,NA,"82",10,27.3,28.3,23.7,"","sediment",2,2023-03-12 14:35:40,2023-03-12
235,"Mar_23_235","Mar_23_235_SRS5_stem","SRS5","3/12/23","14:45:40","14:48:40","stem","alive","RHMA","LGR","LGR2","A5","A",NA,NA,"128",9.5,27.2,28.3,23.7,"","sediment",3,2023-03-12 14:45:40,2023-03-12
236,"Mar_23_236","Mar_23_236_SRS5_stem","SRS5","3/12/23","14:54:20","14:57:20","stem","alive","RHMA","LGR","LGR2","A5","A",NA,NA,"168",10.5,27.3,28.3,23.7,"","sediment",5,2023-03-12 14:54:20,2023-03-12
237,"Mar_23_237","Mar_23_237_SRS5_root","SRS5","3/12/23","15:04:10","15:07:10","root","alive","RHMA","LGR","LGR2","A5","A",NA,NA,"50",6,27.2,28.3,23.7,"","sediment",6,2023-03-12 15:04:10,2023-03-12
238,"Mar_23_238","Mar_23_238_SRS5_stem","SRS5","3/12/23","15:21:20","15:24:20","stem","alive","RHMA","LGR","LGR2","B5","B",NA,NA,"68",14.5,26.5,28.3,23.5,"","sediment",6,2023-03-12 15:21:20,2023-03-12
241,"Mar_23_241","Mar_23_241_SRS5_root","SRS5","3/12/23","15:50:45","15:53:45","root","alive","RHMA","LGR","LGR2","A5","A",NA,NA,"43",9.4,26.2,28.3,23.5,"","sediment",9,2023-03-12 15:50:45,2023-03-12
242,"Mar_23_242","Mar_23_242_SRS5_root","SRS5","3/12/23","16:03:30","16:06:30","root","alive","RHMA","LGR","LGR2","A5","A",NA,NA,"25",5,26.3,28.3,23.5,"","sediment",10,2023-03-12 16:03:30,2023-03-12
227,"Mar_23_227","Mar_23_227_SRS5_stem","SRS5","3/12/23","12:53:45","12:56:45","stem","alive","RHMA","LGR","LGR2","C2","C",NA,NA,"90",15.3,24.6,29,23.5,"","sediment",0,2023-03-12 12:53:45,2023-03-12
239,"Mar_23_239","Mar_23_239_SRS5_stem","SRS5","3/12/23","15:29:50","15:32:50","stem","alive","RHMA","LGR","LGR2","B5","B",NA,NA,"125",13.5,26.8,28.3,23.5,"","sediment",7.5,2023-03-12 15:29:50,2023-03-12
219,"Mar_23_219","Mar_23_219_SRS5_stem","SRS5","3/12/23","11:11:00","11:14:09","stem","alive","RHMA","LGR","LGR2","A5","A",NA,NA,"97",7.4,23.3,25.4,23.4,"","sediment",0,2023-03-12 11:11:00,2023-03-12
223,"Mar_23_223","Mar_23_223_SRS5_stem","SRS5","3/12/23","11:56:30","11:59:50","stem","alive","RHMA","LGR","LGR2","C2","C",NA,NA,"117",17,24.1,27.7,23.5,"","sediment",0,2023-03-12 11:56:30,2023-03-12
240,"Mar_23_240","Mar_23_240_SRS5_stem","SRS5","3/12/23","15:37:30","15:41:00","stem","alive","RHMA","LGR","LGR2","B5","B",NA,NA,"166",13.1,27.2,28.3,23.5,"","sediment",8,2023-03-12 15:37:30,2023-03-12
211,"Mar_23_211","Mar_23_211_SRS5_stem","SRS5","3/12/23","15:28:00","15:32:00","stem","alive","LARA","LGR","LGR3","D2","D",NA,NA,"150",28.1,27.1,28.3,23.7,"","sediment",1.5,2023-03-12 15:28:00,2023-03-12
209,"Mar_23_209","Mar_23_209_SRS5_stem","SRS5","3/12/23","15:13:00","15:18:00","stem","alive","LARA","LGR","LGR3","D2","D",NA,NA,"50",31,26.4,28.3,23.7,"","sediment",1.5,2023-03-12 15:13:00,2023-03-12
212,"Mar_23_212","Mar_23_212_SRS5_stem","SRS5","3/12/23","15:38:21","15:43:21","stem","alive","AVGE","LGR","LGR3","D2","D",NA,NA,"40",43,27.5,27.8,23.6,"","sediment",5,2023-03-12 15:38:21,2023-03-12
214,"Mar_23_214","Mar_23_214_SRS5_stem","SRS5","3/12/23","15:49:00","15:54:00","stem","alive","AVGE","LGR","LGR3","D2","D",NA,NA,"165",42,24,27.8,23.6,"","sediment",5,2023-03-12 15:49:00,2023-03-12
210,"Mar_23_210","Mar_23_210_SRS5_stem","SRS5","3/12/23","15:21:00","15:26:00","stem","alive","LARA","LGR","LGR3","D2","D",NA,NA,"92",30,27,28.3,23.7,"","sediment",1.5,2023-03-12 15:21:00,2023-03-12
179,"Mar_23_179","Mar_23_179_SRS5_stem","SRS5","3/13/23","14:03:00","14:05:00","stem","alive","AVGE","LGR","LGR3","B2","B",NA,NA,"90",NA,27.4,27.2,24.4,"","sediment",0,2023-03-13 14:03:00,2023-03-13
191,"Mar_23_191","Mar_23_191_SRS5_stem","SRS5","3/13/23","10:57:52","10:59:52","stem","alive","RHMA","LGR","LGR2","B5","B",NA,NA,"131",9,24.5,26.1,24,"","sediment",0,2023-03-13 10:57:52,2023-03-13
202,"Mar_23_202","Mar_23_202_SRS5_CWD","SRS5","3/13/23","13:02:30","13:05:20","CWD","","RHMA","LGR","LGR2","B5","B",NA,NA,"28",11.2,27.5,24.4,24,"","sediment",NA,2023-03-13 13:02:30,2023-03-13
170,"Mar_23_170","Mar_23_170_SRS5_stem","SRS5","3/13/23","12:33:30","12:36:30","stem","alive","LARA","LGR","LGR3","C5","C",NA,NA,"20",19.6,25.8,26.6,24.2,"","sediment",1,2023-03-13 12:33:30,2023-03-13
171,"Mar_23_171","Mar_23_171_SRS5_stem","SRS5","3/13/23","12:40:00","12:43:00","stem","alive","LARA","LGR","LGR3","C5","C",NA,NA,"122",17.8,26.8,26.6,24.2,"","sediment",1,2023-03-13 12:40:00,2023-03-13
172,"Mar_23_172","Mar_23_172_SRS5_stem","SRS5","3/13/23","13:04:00","13:07:00","stem","alive","LARA","LGR","LGR3","D2","D",NA,NA,"50",35.5,26.9,24.4,24,"","sediment",0,2023-03-13 13:04:00,2023-03-13
173,"Mar_23_173","Mar_23_173_SRS5_root","SRS5","3/13/23","13:20:30","13:23:30","root","alive","LARA","LGR","LGR3","A6","A",NA,NA,"2.3",20,28.8,25.6,24.1,"","sediment",0,2023-03-13 13:20:30,2023-03-13
175,"Mar_23_175","Mar_23_175_SRS5_root","SRS5","3/13/23","13:32:30","13:35:30","root","alive","RHMA","LGR","LGR3","A6","A",NA,NA,"2.5",20,26,26.7,24.1,"","sediment",0,2023-03-13 13:32:30,2023-03-13
177,"Mar_23_177","Mar_23_177_SRS5_stem","SRS5","3/13/23","13:45:30","13:48:30","stem","alive","RHMA","LGR","LGR3","B2","B",NA,NA,"75",22,26,26.7,24.7,"","sediment",0,2023-03-13 13:45:30,2023-03-13
178,"Mar_23_178","Mar_23_178_SRS5_stem","SRS5","3/13/23","13:55:00","13:58:00","stem","alive","AVGE","LGR","LGR3","B2","B",NA,NA,"?",13.5,26.7,27.2,24.4,"","sediment",0,2023-03-13 13:55:00,2023-03-13
180,"Mar_23_180","Mar_23_180_SRS5_stem","SRS5","3/13/23","10:56:00","10:59:00","stem","alive","RHMA","LGR","LGR3","C5","C",NA,NA,"?",10.5,25.1,27.5,24,"","sediment",0,2023-03-13 10:56:00,2023-03-13
184,"Mar_23_184","Mar_23_184_SRS5_root","SRS5","3/13/23","11:36:30","11:39:30","root","alive","RHMA","LGR","LGR3","A5","A",NA,NA,"3",7,25.6,26.6,23.9,"","sediment",0,2023-03-13 11:36:30,2023-03-13
186,"Mar_23_186","Mar_23_186_SRS5_stem","SRS5","3/13/23","11:51:00","11:54:00","stem","alive","RHMA","LGR","LGR3","C5","C",NA,NA,"105",18,26,26.6,23.9,"","sediment",0,2023-03-13 11:51:00,2023-03-13
187,"Mar_23_187","Mar_23_187_SRS5_stem","SRS5","3/13/23","11:57:00","12:00:00","stem","alive","RHMA","LGR","LGR3","C5","C",NA,NA,"145",17.5,26.5,26.6,23.9,"","sediment",0,2023-03-13 11:57:00,2023-03-13
188,"Mar_23_188","Mar_23_188_SRS5_root","SRS5","3/13/23","12:03:30","12:06:30","root","alive","RHMA","LGR","LGR3","A5","A",NA,NA,"75",9.5,26.5,26.6,23.9,"","sediment",0,2023-03-13 12:03:30,2023-03-13
190,"Mar_23_190","Mar_23_190_SRS5_stem","SRS5","3/13/23","10:44:34","10:47:34","stem","alive","RHMA","LGR","LGR2","B5","B",NA,NA,"105",9,24.5,26.1,24,"","sediment",0,2023-03-13 10:44:34,2023-03-13
193,"Mar_23_193","Mar_23_193_SRS5_stem","SRS5","3/13/23","11:16:13","11:19:13","stem","alive","RHMA","LGR","LGR2","B5","B",NA,NA,"43",13.1,25.3,26.6,24.1,"","sediment",0,2023-03-13 11:16:13,2023-03-13
194,"Mar_23_194","Mar_23_194_SRS5_stem","SRS5","3/13/23","11:23:37","11:26:37","stem","alive","RHMA","LGR","LGR2","B5","B",NA,NA,"93",11.5,25.8,26.6,24.1,"","sediment",0,2023-03-13 11:23:37,2023-03-13
195,"Mar_23_195","Mar_23_195_SRS5_stem","SRS5","3/13/23","11:29:44","11:32:44","stem","alive","RHMA","LGR","LGR2","B5","B",NA,NA,"142",11.2,25.7,26.6,24.1,"","sediment",0,2023-03-13 11:29:44,2023-03-13
196,"Mar_23_196","Mar_23_196_SRS5_root","SRS5","3/13/23","11:36:00","11:39:00","root","alive","RHMA","LGR","LGR2","B5","B",NA,NA,"12",12,25.2,26.6,24.1,"","sediment",0,2023-03-13 11:36:00,2023-03-13
200,"Mar_23_200","Mar_23_200_SRS5_CWD","SRS5","3/13/23","12:49:04","12:52:04","CWD","","RHMA","LGR","LGR2","B5","B",NA,NA,"30",9.2,26.4,25.8,NA,"","sediment",0,2023-03-13 12:49:04,2023-03-13
201,"Mar_23_201","Mar_23_201_SRS5_CWD","SRS5","3/13/23","12:53:50","12:56:50","CWD","","RHMA","LGR","LGR2","A5","A",NA,NA,"15",6.9,28.3,24.4,24.2,"","sediment",0,2023-03-13 12:53:50,2023-03-13
203,"Mar_23_203","Mar_23_203_SRS5_stem","SRS5","3/13/23","12:03:01","12:06:01","stem","alive","AVGE","LGR","LGR2","B5","B",NA,NA,"12",17.5,25.5,26.7,24.1,"","sediment",0,2023-03-13 12:03:01,2023-03-13
