Determination start,Ident,Sample type,Method name,User (short name),Info 1,Anions.F.Component name,Anions.F.Retention time,Anions.F.Height,Anions.F.Area,Anions.F.Concentration,Anions.Cl.Component name,Anions.Cl.Retention time,Anions.Cl.Height,Anions.Cl.Area,Anions.Cl.Concentration,Anions.NO2-N.Component name,Anions.NO2-N.Retention time,Anions.NO2-N.Height,Anions.NO2-N.Area,Anions.NO2-N.Concentration,Anions.Br.Component name,Anions.Br.Retention time,Anions.Br.Height,Anions.Br.Area,Anions.Br.Concentration,Anions.NO3-N.Component name,Anions.NO3-N.Retention time,Anions.NO3-N.Height,Anions.NO3-N.Area,Anions.NO3-N.Concentration,Anions.PO4-P.Component name,Anions.PO4-P.Retention time,Anions.PO4-P.Height,Anions.PO4-P.Area,Anions.PO4-P.Concentration,Anions.SO4.Component name,Anions.SO4.Retention time,Anions.SO4.Height,Anions.SO4.Area,Anions.SO4.Concentration
2025-11-19 20:36:53 UTC-5,CP40-Surface,Sample,ASupp5-150-2 17min,Gabriel,,F,4.1,0.12883,0.03057,0.102,,,,,,,,,,,Br,8.77,2.15271,0.46515,4.35,,,,,,,,,,,SO4,14.49,88.74805,31.77515,139.192
2025-11-19 20:57:21 UTC-5,CP40-0,Sample,ASupp5-150-2 17min,Gabriel,,F,3.99,0.15646,0.03198,0.105,,,,,,NO2-N,6.83,1084.43427,923.47143,1344.696,Br,8.92,7.05448,1.37475,10.82,,,,,,PO4-P,12.6,0.06665,0.02184,0.111,SO4,14.4,200.19636,82.11538,319.986
2025-11-19 21:17:49 UTC-5,CP40-15,Sample,ASupp5-150-2 17min,Gabriel,,F,3.99,0.15381,0.03142,0.104,,,,,,NO2-N,6.84,1086.06729,930.73748,1355.276,Br,8.93,7.09258,1.38529,10.886,,,,,,PO4-P,12.59,0.05624,0.01802,0.093,SO4,14.4,202.153,83.75808,325.331
2025-11-19 21:38:17 UTC-5,CP40-45,Sample,ASupp5-150-2 17min,Gabriel,,F,4,0.16017,0.03248,0.106,,,,,,NO2-N,6.78,1052.37963,854.21348,1243.851,Br,8.92,6.39932,1.26512,10.128,,,,,,PO4-P,12.6,0.04105,0.01342,0.07,SO4,14.42,187.71682,75.49625,298.148
2025-11-19 21:58:46 UTC-5,CP40-90,Sample,ASupp5-150-2 17min,Gabriel,,F,4.01,0.17536,0.03516,0.112,,,,,,NO2-N,6.75,1032.21541,809.14568,1178.229,Br,8.91,6.01069,1.19344,9.665,,,,,,PO4-P,12.6,0.02897,0.00968,0.051,SO4,14.44,166.26631,65.38401,263.797
2025-11-19 22:19:15 UTC-5,CP40-45Spike,Sample,ASupp5-150-2 17min,Gabriel,,F,4,0.15576,0.0316,0.104,,,,,,NO2-N,6.76,1039.76687,824.25804,1200.234,Br,8.9,6.14462,1.21699,9.818,,,,,,PO4-P,12.6,0.03856,0.01255,0.066,SO4,14.42,192.30008,77.00008,303.152
2025-11-19 22:39:44 UTC-5,BL60-Surface,Sample,ASupp5-150-2 17min,Gabriel,,F,4.16,0.04323,0.00744,0.053,Cl,6.02,272.30107,55.49466,186.198,,,,,,Br,8.75,0.27031,0.06362,0.675,,,,,,,,,,,SO4,14.53,2.02733,0.66111,3.531
2025-11-19 23:00:13 UTC-5,BL60-0,Sample,ASupp5-150-2 17min,Gabriel,,F,4.05,0.23592,0.06349,0.173,,,,,,,,,,,Br,8.89,3.94245,0.80834,7.014,,,,,,,,,,,SO4,14.51,124.92038,47.16329,198.471
2025-11-19 23:20:43 UTC-5,BL60-15,Sample,ASupp5-150-2 17min,Gabriel,,F,4.07,0.19685,0.0508,0.146,,,,,,,,,,,Br,8.87,3.12336,0.65319,5.851,,,,,,,,,,,SO4,14.53,104.34704,38.93329,167.291
2025-11-19 23:41:13 UTC-5,BL60-45,Sample,ASupp5-150-2 17min,Gabriel,,F,4.05,0.23377,0.06326,0.172,,,,,,,,,,,Br,8.89,3.96197,0.81619,7.071,,,,,,,,,,,SO4,14.51,127.73905,48.4642,203.297
2025-11-20 00:01:43 UTC-5,BL60-90,Sample,ASupp5-150-2 17min,Gabriel,,F,4.11,0.19831,0.04482,0.133,,,,,,,,,,,Br,8.79,1.78375,0.38859,3.704,NO3-N,10.03,0.02962,0.00777,0.088,,,,,,SO4,14.52,60.81141,21.57399,97.368
2025-11-20 00:22:13 UTC-5,BL60-45Spike,Sample,ASupp5-150-2 17min,Gabriel,,F,4.05,0.22659,0.06032,0.166,,,,,,,,,,,Br,8.89,3.81498,0.78659,6.854,,,,,,,,,,,SO4,14.5,133.8889,51.02941,212.737
2025-11-20 00:42:44 UTC-5,SRS5-0,Sample,ASupp5-150-2 17min,Gabriel,,F,4.13,0.14343,0.02997,0.101,,,,,,,,,,,Br,8.76,1.33965,0.29681,2.9,,,,,,,,,,,SO4,14.51,56.7805,19.95951,90.538
2025-11-20 01:03:14 UTC-5,SRS5-15,Sample,ASupp5-150-2 17min,Gabriel,,F,4.12,0.1872,0.04002,0.123,,,,,,,,,,,Br,8.77,1.6088,0.35168,3.385,,,,,,,,,,,SO4,14.51,56.39217,19.87753,90.189
2025-11-20 01:23:43 UTC-5,SRS5-45,Sample,ASupp5-150-2 17min,Gabriel,,F,4.07,0.12213,0.03008,0.101,,,,,,,,,,,Br,8.81,2.99431,0.63347,5.699,,,,,,,,,,,SO4,14.49,104.48105,38.53291,165.744
2025-11-20 01:44:12 UTC-5,SRS5-90,Sample,ASupp5-150-2 17min,Gabriel,,F,4.09,0.12993,0.0312,0.104,,,,,,,,,,,Br,8.81,2.51771,0.54135,4.972,,,,,,,,,,,SO4,14.51,92.86409,33.9244,147.731
2025-11-20 02:04:41 UTC-5,SRS5-45Spike,Sample,ASupp5-150-2 17min,Gabriel,,F,4.08,0.12161,0.03021,0.101,,,,,,,,,,,Br,8.82,2.9462,0.6282,5.658,,,,,,,,,,,SO4,14.49,113.88872,42.45276,180.765
2025-11-20 02:25:09 UTC-5,SRS6-0,Sample,ASupp5-150-2 17min,Gabriel,,F,4.08,0.19737,0.04812,0.14,,,,,,,,,,,Br,8.81,2.87188,0.61223,5.533,,,,,,,,,,,SO4,14.5,104.52528,38.54735,165.8
2025-11-20 02:45:37 UTC-5,SRS6-15,Sample,ASupp5-150-2 17min,Gabriel,,F,4.08,0.20493,0.05066,0.145,,,,,,,,,,,Br,8.81,3.00284,0.63921,5.743,,,,,,,,,,,SO4,14.49,106.54872,39.49224,169.445
2025-11-20 03:06:04 UTC-5,SRS6-45,Sample,ASupp5-150-2 17min,Gabriel,,F,4.06,0.19315,0.04939,0.143,,,,,,,,,,,Br,8.83,3.57209,0.75017,6.585,,,,,,,,,,,SO4,14.5,118.31016,44.51532,188.563
2025-11-20 03:26:32 UTC-5,SRS6-90,Sample,ASupp5-150-2 17min,Gabriel,,F,4.05,0.15627,0.04112,0.125,,,,,,,,,,,Br,8.86,4.15796,0.85883,7.379,,,,,,,,,,,SO4,14.49,142.31427,54.92407,226.879
2025-11-20 03:47:00 UTC-5,SRS6-45Spike,Sample,ASupp5-150-2 17min,Gabriel,,F,4.07,0.18462,0.04659,0.137,,,,,,,,,,,Br,8.82,3.33343,0.70652,6.258,,,,,,,,,,,SO4,14.49,122.98735,46.31208,195.298
