Contributor_name,Country,Location,Site,Lat,Long,GeoSet_ecotype,Species,Chamber_type,Chamber_method,Gas_sampling,Dark_light,Interface,Tide,Tree_tissue_surface,Wood_density_g_cm3,Lenticels_density_lent_cm2,Pneumatophore_density_pneu_m2,Timescale,Season,Year,CO2_mean,CO2_se,CO2_mdn,CO2_range,CO2_units,CH4_mean,CH4_se,CH4_mdn,CH4_range,CH4_units,N2O_mean,N2O_se,N2O_mdn,N2O_range,N2O_units,Comments
Jonathan Gewirtzman,USA,"Everglades National Park, FL",SRS6,25.365,-81.078,riverine,Avicennia germinans,rigid,closed chamber,field,light,variable (tidal),variable,stem,NA,no,NA,seasonal,wet,2022,2.435,1.004,1.43,0.272 to 13.241,umol m-2 s-1,2.5291,2.2121,0.24,-0.8199 to 26.7143,umol m-2 s-1,NA,NA,NA,NA,NA,n_CH4=12; n_CO2=12; CH4_below_MDF=0/12; CH4_flagged=11/12; CH4_median_SNR=24.5; CO2_below_MDF=0/12; CO2_flagged=4/12; CO2_median_SNR=734.2; mean_height_cm=50; analyzers=LGR_UGGA_GLA131+Picarro_G4301; all_measurements_retained_with_QC_flags
Jonathan Gewirtzman,USA,"Everglades National Park, FL",SRS6,25.365,-81.078,riverine,Laguncularia racemosa,rigid,closed chamber,field,light,variable (tidal),variable,stem,NA,NA,NA,seasonal,dry,2023,2.216,0.462,1.787,1.151 to 5.1,umol m-2 s-1,0.1752,0.0459,0.1683,0.0182 to 0.497,umol m-2 s-1,NA,NA,NA,NA,NA,n_CH4=9; n_CO2=9; CH4_below_MDF=1/9; CH4_flagged=8/9; CH4_median_SNR=31.1; CO2_below_MDF=0/9; CO2_flagged=4/9; CO2_median_SNR=389.9; mean_height_cm=58; analyzers=LGR_UGGA_GLA131+Picarro_G4301; all_measurements_retained_with_QC_flags
Jonathan Gewirtzman,USA,"Everglades National Park, FL",SRS6,25.365,-81.078,riverine,Laguncularia racemosa,rigid,closed chamber,field,light,variable (tidal),variable,stem,NA,no,NA,seasonal,wet,2022,-2.627,4.611,1.759,-25.661 to 2.512,umol m-2 s-1,-0.5257,0.9366,0.0733,-4.8604 to 1.9668,umol m-2 s-1,NA,NA,NA,NA,NA,n_CH4=6; n_CO2=6; CH4_below_MDF=0/6; CH4_flagged=4/6; CH4_median_SNR=50.7; CO2_below_MDF=0/6; CO2_flagged=2/6; CO2_median_SNR=533.1; mean_height_cm=50; analyzers=LGR_UGGA_GLA131+Picarro_G4301; all_measurements_retained_with_QC_flags
Jonathan Gewirtzman,USA,"Everglades National Park, FL",SRS6,25.365,-81.078,riverine,Rhizophora mangle,rigid,closed chamber,field,light,variable (tidal),variable,prop root,NA,NA,NA,seasonal,dry,"2022, 2023",1.169,0.5,0.755,0.01 to 3.654,umol m-2 s-1,0.6709,0.3805,0.4774,-0.0877 to 2.8367,umol m-2 s-1,NA,NA,NA,NA,NA,n_CH4=7; n_CO2=7; CH4_below_MDF=1/7; CH4_flagged=6/7; CH4_median_SNR=47.8; CO2_below_MDF=0/7; CO2_flagged=5/7; CO2_median_SNR=72.7; mean_height_cm=32; analyzers=LGR_UGGA_GLA131+Picarro_G4301; all_measurements_retained_with_QC_flags
Jonathan Gewirtzman,USA,"Everglades National Park, FL",SRS6,25.365,-81.078,riverine,Rhizophora mangle,rigid,closed chamber,field,light,variable (tidal),variable,prop root,NA,no/yes,NA,seasonal,wet,2022,3.124,1.033,2.26,0.262 to 9.179,umol m-2 s-1,19.768,18.5226,0.483,-0.0407 to 149.3656,umol m-2 s-1,NA,NA,NA,NA,NA,n_CH4=8; n_CO2=8; CH4_below_MDF=0/8; CH4_flagged=8/8; CH4_median_SNR=6.5; CO2_below_MDF=0/8; CO2_flagged=5/8; CO2_median_SNR=248.8; analyzers=LGR_UGGA_GLA131+Picarro_G4301; all_measurements_retained_with_QC_flags
Jonathan Gewirtzman,USA,"Everglades National Park, FL",SRS6,25.365,-81.078,riverine,Rhizophora mangle,rigid,closed chamber,field,light,variable (tidal),variable,stem,NA,NA,NA,seasonal,dry,"2022, 2023",1.652,0.27,1.222,0.086 to 5.34,umol m-2 s-1,0.5402,0.1986,0.291,-0.5415 to 5.6133,umol m-2 s-1,NA,NA,NA,NA,NA,n_CH4=28; n_CO2=28; CH4_below_MDF=0/28; CH4_flagged=18/28; CH4_median_SNR=47.3; CO2_below_MDF=0/28; CO2_flagged=17/28; CO2_median_SNR=134.3; mean_height_cm=83; analyzers=LGR_UGGA_GLA131+Picarro_G4301; all_measurements_retained_with_QC_flags
Jonathan Gewirtzman,USA,"Everglades National Park, FL",SRS6,25.365,-81.078,riverine,Rhizophora mangle,rigid,closed chamber,field,light,variable (tidal),variable,stem,NA,no/yes,NA,seasonal,wet,2022,3.779,1.065,2.101,0.381 to 20.743,umol m-2 s-1,0.9632,0.5903,0.1007,-1.5755 to 12.0126,umol m-2 s-1,NA,NA,NA,NA,NA,n_CH4=23; n_CO2=23; CH4_below_MDF=1/23; CH4_flagged=19/23; CH4_median_SNR=10.4; CO2_below_MDF=0/23; CO2_flagged=8/23; CO2_median_SNR=446.6; mean_height_cm=50; analyzers=LGR_UGGA_GLA131+Picarro_G4301; all_measurements_retained_with_QC_flags
Jonathan Gewirtzman,USA,"Everglades National Park, FL",SRS5,25.364,-81.077,riverine,"mixed (R. mangle, A. germinans, L. racemosa)",rigid,closed chamber,field,light,soil-air,low,soil (with pneumatophores),NA,NA,159,seasonal,dry,2023,1.508,0.529,0.968,0.881 to 5.2,umol m-2 s-1,0.5552,0.2374,0.2793,-0.1072 to 1.6164,umol m-2 s-1,NA,NA,NA,NA,NA,n_CH4=8; n_CO2=8; CH4_below_MDF=1/8; CH4_flagged=8/8; CH4_median_SNR=7.3; CO2_below_MDF=0/8; CO2_flagged=8/8; CO2_median_SNR=89.4; pneum_counts_per_chamber_not_per_m2; analyzers=LGR_UGGA_GLA131+Picarro_G4301; all_measurements_retained_with_QC_flags
Jonathan Gewirtzman,USA,"Everglades National Park, FL",SRS5,25.364,-81.077,riverine,"mixed (R. mangle, A. germinans, L. racemosa)",rigid,closed chamber,field,light,soil-air,low,soil (without pneumatophores),NA,NA,0,seasonal,dry,2023,0.935,0.169,0.766,0.461 to 1.999,umol m-2 s-1,0.105,0.0376,0.1021,-0.0664 to 0.2617,umol m-2 s-1,NA,NA,NA,NA,NA,n_CH4=8; n_CO2=8; CH4_below_MDF=3/8; CH4_flagged=8/8; CH4_median_SNR=3.6; CO2_below_MDF=0/8; CO2_flagged=8/8; CO2_median_SNR=70.2; pneum_counts_per_chamber_not_per_m2; analyzers=LGR_UGGA_GLA131+Picarro_G4301; all_measurements_retained_with_QC_flags
Jonathan Gewirtzman,USA,"Everglades National Park, FL",SRS6,25.365,-81.078,riverine,"mixed (R. mangle, A. germinans, L. racemosa)",rigid,closed chamber,field,light,soil-air,low,soil (with pneumatophores),NA,NA,244,seasonal,dry,2023,2.243,0.404,2.255,1.237 to 3.48,umol m-2 s-1,3.1277,0.481,2.8191,1.8305 to 4.6257,umol m-2 s-1,NA,NA,NA,NA,NA,n_CH4=5; n_CO2=5; CH4_below_MDF=0/5; CH4_flagged=2/5; CH4_median_SNR=105.1; CO2_below_MDF=0/5; CO2_flagged=4/5; CO2_median_SNR=271.5; pneum_counts_per_chamber_not_per_m2; analyzers=LGR_UGGA_GLA131+Picarro_G4301; all_measurements_retained_with_QC_flags
Jonathan Gewirtzman,USA,"Everglades National Park, FL",SRS6,25.365,-81.078,riverine,"mixed (R. mangle, A. germinans, L. racemosa)",rigid,closed chamber,field,light,soil-air,low,soil (without pneumatophores),NA,NA,0,seasonal,dry,2023,0.87,0.307,0.596,0.452 to 2.079,umol m-2 s-1,4.032,1.7312,2.9926,0.394 to 10.6353,umol m-2 s-1,NA,NA,NA,NA,NA,n_CH4=5; n_CO2=5; CH4_below_MDF=0/5; CH4_flagged=5/5; CH4_median_SNR=56; CO2_below_MDF=0/5; CO2_flagged=3/5; CO2_median_SNR=154.8; pneum_counts_per_chamber_not_per_m2; analyzers=LGR_UGGA_GLA131+Picarro_G4301; all_measurements_retained_with_QC_flags
