flux_id,index,plot,date,start_time,end_time,measurement_type,component,analyzer_source,data_source,species,status,height,height_corrected,diameter,lenticels,above,chamber_class,surface_type,collar_id,collar_location,chamber_id,pneumatophore_count,collar_offset_cm,collar_volume_cm3,air_temp,stem_temp,soil_temp,water_temp,water_depth,pressure_start,rh_start,chamber_volume_cm3,surface_area_cm2,total_system_volume_cm3,total_system_volume_L,analyzer_cell_volume_cm3,tubing_volume_cm3,CH4_best.flux,CH4_model,CH4_quality.check,CH4_flux_status,CH4_below_MDF,CH4_flagged,CH4_SNR,CH4_LM.flux,CH4_LM.SE,CH4_LM.r2,CH4_LM.p.val,CH4_HM.flux,CH4_HM.SE,CH4_HM.r2,CH4_MDF,CH4_prec,CH4_nb.obs,CH4_flux.term,CH4_LM.diagnose,CH4_HM.diagnose,CH4_LM.score,CH4_HM.score,CH4_g.fact,CH4_k.ratio.lim,CH4_MDF.lim,CH4_warn.nb.obs,CO2_best.flux,CO2_model,CO2_quality.check,CO2_flux_status,CO2_below_MDF,CO2_flagged,CO2_SNR,CO2_LM.flux,CO2_LM.SE,CO2_LM.r2,CO2_LM.p.val,CO2_HM.flux,CO2_HM.SE,CO2_HM.r2,CO2_MDF,CO2_prec,CO2_nb.obs,CO2_flux.term,CO2_LM.diagnose,CO2_HM.diagnose,CO2_LM.score,CO2_HM.score,CO2_g.fact,CO2_k.ratio.lim,CO2_MDF.lim,CO2_warn.nb.obs,year,month,month_year,season,disturbance_level,pneumatophore_density,flux_status,notes,source_file,CH4_ebull_flux,CH4_diffusive_flux,CH4_ebullitive_fraction,CH4_n_ebull_events,ebullition_reprocessed
45003_FLM30_Water_155,155,FLM30,2023-03-18,14:09:00,14:19:00,surface,water,LGR1,original,NA,NA,NA,NA,NA,NA,NA,NA,water,NA,NA,Floating 8 in,NA,2.54,463.3,29.233333333333334,NA,NA,NA,22,NA,NA,3370,324.3,4318,4.318,70,29,4.406678657221721,HM,NA,valid,FALSE,FALSE,188.34513667801812,5.240723880364469,0.00742357987282343,0.998719470715372,0,5.4726282725473565,0.02905638217727376,0.9988492848307357,0.00759741415357606,0.9,640,5.3688393351937505,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.044250450410442,1,0.0076,60,0.6948096484701762,HM,NA,valid,FALSE,FALSE,147.69963875329606,0.6804560056450242,0.0011642758824552,0.998132751197532,0,0.6948096484701762,0.00470420682362482,0.9981516034325618,0.00295454994861291,0.35,640,5.3688393351937505,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.0210941526065975,1,0.003,60,2023,3,2023-03,dry,ghost,NA,valid,water temp = 33.4,LGR1_final_complete_dataset_soil.csv,0,4.406678657221721,0,0,TRUE
45003_FLM30_Water_156,156,FLM30,2023-03-18,14:24:00,14:39:00,surface,water,LGR1,original,NA,NA,NA,NA,NA,NA,NA,NA,water,NA,NA,Floating 8 in,NA,2.54,463.3,28.9,NA,NA,NA,27,NA,NA,3370,324.3,4318,4.318,70,29,4.962778592642584,HM,SE | Intercept (LM),valid,FALSE,TRUE,128.83696389927647,3.988362071706625,0.02571371939553863,0.9721571035261296,0,7.166417904515998,0.0556239272303765,0.9966289246389678,0.00703981603645373,0.9,690,5.373726241159684,Noise (LM.RMSE) | Noise (LM.MAE) | Intercept (LM),Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),3,1,1.7968323275748832,1,0.007,60,0.769976750669384,HM,NA,valid,FALSE,FALSE,111.42719072688494,0.54085546097906545,0.00237381720847393,0.9869011433753516,0,0.769976750669384,0.00691013338527618,0.9959151775374532,0.00273770623639867,0.35,690,5.373726241159684,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.4236275793084523,1,0.0027,60,2023,3,2023-03,dry,ghost,NA,valid,water temp = 34.1,LGR1_final_complete_dataset_soil.csv,0,4.962778592642584,0,0,TRUE
44857_CP40_Water_76,76,CP40,2022-10-23,11:28:00,11:31:00,surface,water,LGR2,original,NA,NA,NA,NA,NA,NA,NA,NA,water,N/A,near tree 808,Floating 8 in,NA,2.54,463.3,28,NA,26.3,NA,23,NA,NA,3370,324.3,4318,4.318,70,29,120.84928493766526,LM,RMSE | SE | AICc | Intercept,valid,FALSE,TRUE,22.40324632478621,90.19999578492484,4.02620202792354,0.6540043034014245,5.275259803694674e-63,90.2135835949048,16.177657832566048,0.6537612747431141,0.01832478347249404,0.9,266,5.375269818598253,Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),1,3,1.0001506409159082,1,0.018,60,0.7022318823833904,HM,NA,valid,FALSE,FALSE,58.62645460551533,0.6573113592801691,0.00293155597043308,0.9947564507336653,2.9218984650457323e-291,0.7022318823833904,0.01197807179554957,0.9950700705318528,0.00712630468374768,0.35,266,5.375269818598253,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.0683397943288464,1,0.0071,60,2022,10,2022-10,wet,ghost,NA,valid,NA,LGR2_final_complete_dataset_soil.csv,75.67213271865961,45.17715221900565,0.6261694701602225,11,TRUE
44857_CP40_Water_77,77,CP40,2022-10-23,11:42:45,11:45:45,surface,water,LGR2,original,NA,NA,NA,NA,NA,NA,NA,NA,water,N/A,near tree 801,Floating 8 in,NA,2.54,463.3,28.34,NA,NA,NA,23,NA,NA,3370,324.3,4318,4.318,70,29,35.22278960838936,HM,NA,valid,FALSE,FALSE,286.97894221414214,22.02033885027499,0.1138263428683762,0.9947106890278984,1.4259480716253776e-227,28.81891144862577,0.10042169375313,0.9998262588486546,0.0242805229316714,0.9,200,5.368693403780678,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.3087405986155332,1,0.024,60,0.5497698566459326,HM,MAE | AICc,valid,FALSE,TRUE,37.799005708776775,0.544264447211337,0.00359577459781542,0.991388457592154,1.2921761905739798e-206,0.5497698566459326,0.01454455868182475,0.9912454426338756,0.00944242558453888,0.35,200,5.368693403780678,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),2,2,1.0101153207100038,1,0.0094,60,2022,10,2022-10,wet,ghost,NA,valid,NA,LGR2_final_complete_dataset_soil.csv,0,35.22278960838936,0,0,TRUE
44857_CP40_Water_78,78,CP40,2022-10-23,11:47:00,11:50:00,surface,water,LGR2,original,NA,NA,NA,NA,NA,NA,NA,NA,water,N/A,near tree 801,Floating 8 in,NA,2.54,463.3,28.34,NA,NA,NA,23,NA,NA,3370,324.3,4318,4.318,70,29,25.090376289897364,LM,RMSE | SE | AICc,valid,FALSE,TRUE,26.04917697181413,25.090376289897364,0.9631926688910666,0.6658672136372326,6.476352182889e-83,25.16469616689776,3.8379912004956545,0.6656878622171458,0.01424776824400399,0.9,341,5.366659371908173,Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),1,3,1.0029620869827418,1,0.014,60,0.6170750363776364,HM,NA,valid,FALSE,FALSE,83.68901684010287,0.5642702331900801,0.00188095843455018,0.9962361680580346,0,0.6170750363776364,0.007373429150884,0.9967929412166447,0.00554079876155711,0.35,341,5.366659371908173,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.0935806996038515,1,0.0055,60,2022,10,2022-10,wet,ghost,NA,valid,NA,LGR2_final_complete_dataset_soil.csv,0,25.090376289897364,0,0,FALSE
44857_CP40_Water_79,79,CP40,2022-10-23,12:01:45,12:04:45,surface,water,LGR2,original,NA,NA,NA,NA,NA,NA,NA,NA,water,N/A,slightly outside plot to east,Floating 8 in,NA,2.54,463.3,29.18,NA,NA,NA,23,NA,NA,3370,324.3,4318,4.318,70,29,18.184903436708684,HM,NA,valid,FALSE,FALSE,267.9884588815792,17.78306150186809,0.02283264995108191,0.999652278374299,0,18.653757022938738,0.0696065685096596,0.999810603978924,0.022746689414542,0.9,212,5.332834962742624,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.048962071068538,1,0.023,60,0.608865162498742,HM,MAE | AICc,valid,FALSE,TRUE,47.939174676851806,0.6028634728085391,0.00312772779956714,0.994352522914066,2.9485877878103203e-238,0.608865162498742,0.01270078524720081,0.9942318363219405,0.00884593477232188,0.35,212,5.332834962742624,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),2,2,1.009955304908826,1,0.0088,60,2022,10,2022-10,wet,ghost,NA,valid,NA,LGR2_final_complete_dataset_soil.csv,0,18.184903436708684,0,0,TRUE
44857_CP40_Water_80,80,CP40,2022-10-23,12:09:00,12:14:00,surface,water,LGR2,original,NA,NA,NA,NA,NA,NA,NA,NA,water,N/A,slightly outisde plot to NE,Floating 8 in,NA,2.54,463.3,29.733333333333334,NA,NA,NA,NA,NA,NA,3370,324.3,4318,4.318,70,29,49.89457119600125,LM,SE | g-fact. > 2 | Intercept,valid,FALSE,TRUE,33.492068538743254,35.99491805458706,1.0747296188334423,0.7871770804239414,1.0640273405212913e-103,162.57695408725738,7.29438066487007,0.9393002173669942,0.01578834226852607,0.9,304,5.315408563737111,Noise (LM.RMSE) | Noise (LM.MAE) | Noise (LM.SE),Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE) | Exaggerated curvature (g-fact),3,1,4.516664097990332,1,0.016,60,0.6416095917525667,HM,NA,valid,FALSE,FALSE,87.08832819741093,0.602247424044519,0.00185141869584012,0.9971446181218632,0,0.6416095917525667,0.00736734307607987,0.9974152802474786,0.00613991088220458,0.35,304,5.315408563737111,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.065358797956665,1,0.0061,60,2022,10,2022-10,wet,ghost,NA,valid,NA,LGR2_final_complete_dataset_soil.csv,13.18633474827933,36.70823644772192,0.26428395779731917,5,TRUE
44996_SRS6_Water_86,86,SRS6,2023-03-11,13:16:00,13:21:00,surface,water,LGR2,original,NA,NA,NA,NA,NA,NA,NA,NA,water,W1,boardwalk center,Floating 8 in,NA,2.54,463.3,27.275,NA,25.6,NA,30,NA,NA,3370,324.3,4318,4.318,70,29,1.5377922233774592,HM,NA,valid,FALSE,FALSE,165.33116575546515,1.3015590656252378,0.00264232477660389,0.9975168459667112,0,1.4691041476016744,0.00888582706647438,0.9985297952911132,0.00808711754655185,0.9,605,5.40039738386407,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.1287264530679997,1,0.0081,60,1.5882540276286148,HM,NA,valid,FALSE,FALSE,263.5295884299217,1.4248917397587564,0.0021643834191579,0.9986083249428503,0,1.5882540276286148,0.00602685276097931,0.9994243376116768,0.00314499015699238,0.35,605,5.40039738386407,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.114648912132452,1,0.0031,60,2023,3,2023-03,dry,healthy,NA,valid,ebulition seems limited here,LGR2_final_complete_dataset_soil.csv,0,1.5377922233774592,0,0,TRUE
44996_SRS6_Water_87,87,SRS6,2023-03-11,13:31:00,13:37:00,surface,water,LGR2,original,NA,NA,NA,NA,NA,NA,NA,NA,water,W2,by pier (15LO?),Floating 8 in,NA,2.54,463.3,28.3,NA,25.6,NA,20,NA,NA,3370,324.3,4318,4.318,70,29,1.43372169377697,HM,NA,valid,FALSE,FALSE,172.37013197931643,1.3611989807770004,0.00234036030985479,0.998309001922593,0,1.473956511992804,0.0085511132066063,0.9987432350574896,0.00848309582276182,0.9,574,5.382053016441115,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.082836920103657,1,0.0085,60,1.669571363507892,HM,NA,valid,FALSE,FALSE,522.6947256839546,1.4345217811589217,0.00249307604173763,0.998272326288064,0,1.669571363507892,0.00319416148943005,0.9998583207108048,0.00329898170885182,0.35,574,5.382053016441115,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.1638522226961787,1,0.0033,60,2023,3,2023-03,dry,healthy,NA,valid,no visible bubbles once tide has come in a bit,LGR2_final_complete_dataset_soil.csv,0,1.43372169377697,0,0,TRUE
44996_SRS6_Water_88,88,SRS6,2023-03-11,13:45:00,13:50:00,surface,water,LGR2,original,NA,NA,NA,NA,NA,NA,NA,NA,water,W3,by tree 607 down boardwalk to tower,Floating 8 in,NA,2.54,463.3,26.950000000000003,NA,25.7,NA,10,NA,NA,3370,324.3,4318,4.318,70,29,1.1817944945627916,HM,NA,valid,FALSE,FALSE,84.25014276035107,1.0757031285200898,0.00338279144963803,0.9952069474766548,0,1.1563172519653702,0.01372481059473699,0.9955671843667534,0.01001328458448729,0.9,488,5.407173675623136,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.0749408654748325,1,0.01,60,1.5129542460315306,HM,NA,valid,FALSE,FALSE,301.0926237897118,1.397435610102338,0.0017688824114237,0.9992203042433456,0,1.5129542460315306,0.00502487980937123,0.999650282809092,0.0038940551161895,0.35,488,5.407173675623136,Noise (LM.RMSE) | Noise (LM.MAE),Noise (HM.RMSE) | Noise (HM.MAE),4,0,1.0826647289464255,1,0.0039,60,2023,3,2023-03,dry,healthy,NA,valid,???,LGR2_final_complete_dataset_soil.csv,0,1.1817944945627916,0,0,TRUE
